Step,energy,type,position
0,100,amphibian,"(10, 10)"
1,100,amphibian,"(13, 12)"
2,100,amphibian,"(13, 12)"
3,100,amphibian,"(13, 12)"
4,110,amphibian,"(13, 4)"
5,110,amphibian,"(11, 0)"
6,110,amphibian,"(10, 5)"
7,110,amphibian,"(10, 5)"
8,110,amphibian,"(13, 10)"
9,120,amphibian,"(3, 18)"
10,130,amphibian,"(98, 22)"
11,130,amphibian,"(97, 23)"
12,130,amphibian,"(92, 24)"
13,140,amphibian,"(83, 15)"
14,140,amphibian,"(83, 15)"
15,140,amphibian,"(80, 12)"
16,150,amphibian,"(72, 8)"
17,160,amphibian,"(77, 2)"
18,160,amphibian,"(77, 2)"
19,160,amphibian,"(77, 2)"
20,160,amphibian,"(77, 2)"
21,160,amphibian,"(82, 3)"
22,160,amphibian,"(85, 0)"
23,160,amphibian,"(85, 0)"
24,160,amphibian,"(80, 2)"
25,160,amphibian,"(80, 2)"
26,160,amphibian,"(84, 1)"
27,160,amphibian,"(83, 1)"
28,160,amphibian,"(83, 1)"
29,160,amphibian,"(83, 1)"
30,160,amphibian,"(87, 0)"
31,160,amphibian,"(87, 0)"
32,160,amphibian,"(87, 0)"
33,160,amphibian,"(87, 0)"
34,160,amphibian,"(83, 5)"
35,160,amphibian,"(83, 5)"
36,160,amphibian,"(86, 5)"
37,160,amphibian,"(83, 0)"
38,160,amphibian,"(85, 1)"
39,160,amphibian,"(85, 1)"
40,160,amphibian,"(89, 1)"
41,160,amphibian,"(92, 4)"
42,160,amphibian,"(92, 4)"
43,160,amphibian,"(93, 5)"
44,160,amphibian,"(93, 5)"
45,160,amphibian,"(93, 5)"
46,160,amphibian,"(93, 5)"
47,160,amphibian,"(88, 1)"
48,160,amphibian,"(88, 1)"
49,160,amphibian,"(86, 0)"
50,160,amphibian,"(86, 0)"
51,160,amphibian,"(83, 4)"
52,160,amphibian,"(82, 7)"
53,160,amphibian,"(85, 6)"
54,160,amphibian,"(89, 8)"
55,160,amphibian,"(92, 8)"
56,160,amphibian,"(92, 8)"
57,160,amphibian,"(96, 12)"
58,160,amphibian,"(96, 12)"
59,160,amphibian,"(94, 15)"
60,160,amphibian,"(94, 15)"
61,160,amphibian,"(94, 15)"
62,160,amphibian,"(94, 15)"
63,160,amphibian,"(94, 15)"
64,160,amphibian,"(97, 15)"
65,160,amphibian,"(97, 15)"
66,160,amphibian,"(97, 15)"
67,160,amphibian,"(92, 12)"
68,160,amphibian,"(95, 16)"
69,160,amphibian,"(95, 16)"
70,160,amphibian,"(95, 16)"
71,160,amphibian,"(98, 13)"
72,160,amphibian,"(98, 13)"
73,160,amphibian,"(98, 10)"
74,160,amphibian,"(94, 5)"
75,170,amphibian,"(98, 98)"
76,170,amphibian,"(97, 97)"
77,170,amphibian,"(99, 97)"
78,170,amphibian,"(99, 97)"
79,170,amphibian,"(96, 93)"
80,170,amphibian,"(95, 93)"
81,170,amphibian,"(95, 93)"
82,170,amphibian,"(95, 93)"
83,170,amphibian,"(90, 93)"
84,170,amphibian,"(91, 88)"
85,180,amphibian,"(96, 78)"
86,180,amphibian,"(99, 73)"
87,180,amphibian,"(95, 71)"
88,180,amphibian,"(93, 74)"
89,180,amphibian,"(93, 74)"
90,180,amphibian,"(94, 73)"
91,180,amphibian,"(94, 73)"
92,180,amphibian,"(94, 73)"
93,180,amphibian,"(94, 73)"
94,180,amphibian,"(94, 73)"
95,180,amphibian,"(94, 73)"
96,180,amphibian,"(94, 73)"
97,180,amphibian,"(94, 73)"
98,180,amphibian,"(95, 73)"
99,180,amphibian,"(93, 73)"
